課程名稱,授課教師,學期,A+比例,A比例,A-比例,B+比例,B比例,B-比例,C+比例,C比例,C-比例,F比例
統計學一上,周建亨 ,110-1,73.33%,,,,,,,,,
統計學一上,陳郁蕙,110-1,43.85%,,,,,,,,,
統計學上,楊豐安,108-1,10.81%,21.62%,18.31%,,,,,,,
統計學下,楊豐安,108-2,17.65%,14.71%,67.65%,,,,,,,
統計學及實習,林楨家,108-1,17.95%,82.05%,,,,,,,,
統計學習與深度學習,盧信銘,109-1,67.90%,32.10%,,,,,,,,
統計學暨實習,楊睿中,110-1,41.25%,58.75%,,,,,,,,
統計學暨實習,張勝凱,108-1,11.86%,12.71%,75.42%,,,,,,,
統計學暨實習,陳旭昇,109-1,,,,,,,82.05%,5.13%,12.82%,
統計學暨實習,張勝凱 (02),108-1,,24.58%,9.32%,66.10%,,,,,,
統計學暨實習,楊睿中,110-1,41.25%,58.75%,,,,,,,,
貿易政策,陳添枝,108-2,16.45%,21.71%,61.84%,,,,,,,
貿易政策,陳添枝,107-2,19.79%,80.21%,,,,,,,,
貿易政策,陳添枝,109-2,21.78%,78.22%,,,,,,,,
貿易理論,崔炳和,107-2,32.80%,67.20%,,,,,,,,
貿易理論,劉碧珍 (01),108-2,,45.57%,27.85%,26.58%,,,,,,
跆拳道初級,陳君鳳,107-2,,,46.77%,46.77%,6.45%,,,,,
跆拳道初級,陳君鳳,107-1,,75.95%,8.86%,15.19%,,,,,,
跆拳道初級,吳明翰,109-2,92.16%,3.92%,,,,,,,,
跆拳道初級,吳明翰,108-1,78.85%,21.15%,,,,,,,,
跆拳道初級,吳明翰(B7),109-2,92.31%,,,,,,,,,
跆拳道初級,吳明翰 ,107-2,92.59%,7.41%,,,,,,,,
進階法醫學,華筱玲,107-2,13.33%,26.67%,60.00%,,,,,,,
量子力學一,蔣正偉,108-1,11.94%,88.06%,,,,,,,,
量子力學二,蔣正偉,108-2,12.12%,15.15%,72.73%,,,,,,,
量子物理上,陳俊瑋,108-1,62.50%,37.50%,,,,,,,,
量子物理下,陳俊瑋,108-2,62.82%,37.18%,,,,,,,,
量子場論一,黃宇廷,109-1,17.14%,82.86%,,,,,,,,
量子場論二,陳恒榆,109-2,39.13%,60.87%,,,,,,,,
量子電腦,劉長遠,110-1,96.43%,3.57%,,,,,,,,
雲端技術與應用,孫雅麗,109-2,25%,75%,,,,,,,,
黑格爾哲學上,楊植勝,110-1,15.52%,22.41%,62.07%,,,,,,,
傳統中國法專題討論,陳韻如,107-1,26.67%,73.33%,,,,,,,,
傳播學,闕河嘉 ,106-2,19.51%,21.95%,58.54%,,,,,,,
園產利用加工各論,徐源泰,109-1,,46.67%,13.33%,40%,,,,,,
園產品加工學,許輔 ,107-2,20%,20%,28.24%,28.24%,10.59%,21.18%,,,,
園產品加工學實習,吳思節,107-2,10.17%,33.90%,55.93%,,,,,,,
園產品處理學,吳俊達 ,108-1,8.47%,1.69%,35.60%,35.60%,11.86%,42.37%,,,,
園產品處理學實習,吳俊達 ,109-1,,38.10%,47.62%,14.29%,,,,,,
園場操作與經營一,吳俊達,107-1,15.79%,52.63%,31.58%,,,,,,,
園場操作與經營一,吳俊達 ,108-1,,56.25%,31.25%,12.50%,,,,,,
園場操作與經營二,吳俊達 ,107-2,26.32%,73.68%,,,,,,,,
園藝作物育種學,許富鈞,109-2,,,,,90%,5%,5%,,,
園藝作物育種學實習,許富鈞,109-2,,,88.24%,5.88%,5.88%,,,,,
園藝學原理,張俊彥 ,106-1,,,32.43%,10.81%,56.76%,,,,,
幹細胞學導論,吳信志,107-1,,,,50%,8.33%,41.67%,,,,
微生物學,林長平 ,107-2,,,45.21%,8.22%,46.58%,,,,,
微積分1,蔡雅如,108-1,35.25%,64.75%,,,,,,,,
微積分1,蔡雅如,109-1,20.49%,14.75%,64.75%,,,,,,,
微積分1,楊策仲(07),109-1,,,,,72.03%,8.47%,19.49%,,,
微積分1,王振男 ,109-1,15.24%,20.73%,,,,,,,,
微積分1,蔡雅如(03),110-1,27.10%,20%,,,,,,,,
微積分2,蔡雅如,108-1,20.71%,79.29%,,,,,,,,
微積分2,蔡雅如,109-1,32.81%,67.19%,,,,,,,,
微積分2,楊策仲(07),109-1,42.02%,57.98%,,,,,,,,
微積分2,王振男 ,109-1,23.78%,,,,,,,,,
微積分2,蔡雅如(03),110-1,25.32%,,,,,,,,,
微積分3,蔡雅如,108-2,,,41.41%,3.91%,54.69%,,,,,
微積分3,王藹農,109-2,6.21%,93.79%,,,,,,,,
微積分3,楊策仲(07),109-2,,25.41%,18.03%,56.56%,,,,,,
微積分3,莊武諺 ,109-2,25.93%,,,,,,,,,
微積分3,蔡雅如(03),110-2,15.29%,,,,,,,,,
微積分4,王藹農,109-2,12.03%,87.97%,,,,,,,,
微積分4,楊策仲(07),109-2,,,,57.26%,8.87%,33.87%,,,,
微積分4,蔡雅如(03),110-2,9.49%,,,,,,,,,
微積分4 ─ 在經濟商管的應用,崔茂培,109-2,23.38%,,,,,,,,,
微積分4-在經濟商管的應用,蔡雅如,108-2,4.44%,17.78%,77.78%,,,,,,,
微積分一,翁秉仁,109-1,8.96%,7.46%,83.58%,,,,,,,
微積分乙,林太家,110-1,10.57%,30.89%,58.54%,,,,,,,
微積分乙,陳其誠（01）,109-1,32.39%,14.79%,52.82%,,,,,,,
微積分乙上,莊正良,107-1,,22.94%,8.26%,68.81%,,,,,,
微積分乙上,翁秉仁,108-1,,,,,,,79.26,6.67,14.07,
微積分乙上,李聰成,107-1,20.17%,79.83%,,,,,,,,
微積分乙下,翁秉仁,108-2,,,,37.86,12.62,49.51,,,,
微積分乙下,蔡雅如,108-2,,,,,,,,71.15%,9.62%,19.23%
微積分乙下,李聰成,107-2,,,52.34%,8.41%,39.25%,,,,,
微積分甲上,王藹農,107-1,,,7.50%,,,,,,,
微積分甲上,劉瓊如,107-1,15.50%,84.50%,,,,,,,,
微積分甲下,黃秀戀,107-2,,25.22%,20.87%,53.91%,,,,,,
愛的哲學思考,鄭義愷,110-1,,17.65%,29.41%,52.94%,,,,,,
會計學,卓瑞蘋,109-1,50%,50%,,,,,,,,
會計學一上,吳淑玲,107-1,,,50.00%,9.80%,40.20%,,,,,
會計學甲一上,滝西敦子,108-1,,,,,,68.33%,6.67%,25%,,
會計學甲一上,高偉娟,110-1,,,,,,12.70%,,,,
會計學甲一上,黃祥宇,109-1,21.30%,,,,,,,,,
會計學甲一上,高偉娟(09),110-1,30.16%,12.70%,,,,,,,,
會計學甲一下,黃祥宇,109-2,21.90%,,,,,,,,,
會計學甲一下,高偉娟(09),110-2,50%,,,,,,,,,
會計學原理上,杜榮瑞,109-1,27.93%,72.07%,,,,,,,,
會計學原理上,杜榮瑞,109-1,27.93%,72.07%,,,,,,,,
瑜珈,蘇玫尹,110-1,68.57%,31.43%,,,,,,,,
當代美學,楊植勝,109-1,19.57%,80.43%,,,,,,,,
當代劇場藝術面面觀,謝筱玫 ,108-1,,55.12%,24.41%,20.47%,,,,,,
經濟發展,陳虹如,109-2,13.04%,11.59%,28.98%,18.84%,27.54%,,,,,
經濟數學,周建富,108-1,,36.59%,34.15%,29.27%,,,,,,
經濟數學,周建富,109-1,,,,71.11%,8.89%,20%,,,,
經濟學一,劉錦添,107-1,,,62.65%,6.02%,31.33%,,,,,
經濟學一,葉淑貞,107-2,48.08%,51.92%,,,,,,,,
經濟學乙一,王宏文,110-1,44.83%,55.17%,,,,,,,,
經濟學二,吳中書,107-2,21.01%,20.73%,58.26%,,,,,,,
經濟學二,吳中書,108-2,33.24%,66.76%,,,,,,,,
經濟學二,陳虹如,107-1,8.96%,19.40%,71.64%,,,,,,,
經濟學的政策運用,陳博志,107-2,12.22%,22.22%,65.56%,,,,,,,
經濟學的政策運用,陳博志,109-2,,,,15.73%,12.36%,71.91%,,,,
經濟學原理上,官俊榮,107-1,13.33%,86.67%,,,,,,,,
經濟學原理與實習上,駱明慶,107-1,16.74%,23.85%,59.41%,,,,,,,
經濟學原理與實習上,王道一,108-1,,26%,15%,59%,,,,,,
經濟學原理與實習上,駱明慶,108-1,,25.16%,17.65%,57.19%,,,,,,
經濟學原理與實習下,駱明慶,107-2,17.32%,82.68%,,,,,,,,
經濟學原理與實習下,魏凱立,108-2,21.05%,78.95%,,,,,,,,
經濟學原理與實習下,吳聰敏,108-2,15.90%,15.90%,68.20%,,,,,,,
義大利文一上,圖莉,109-1,,,,52%,12%,36%,,,,
落葉果樹二,李國譚,107-2,16.67%,83.33%,,,,,,,,
試驗設計學,廖振鐸,107-1,,26%,26%,48%,,,,,,
資料庫系統-從SQL到NoSQL,駱明凌,108-1,43.75%,20.31%,35.94%,,,,,,,
資料庫理論,柯佳伶,109-2,50%,50%,,,,,,,,
資料庫管理,孔令傑,110-1,,,24.24%,,,,,,,
資料結構與進階程式設計,陳炳宇,108-2,44.09%,,,,,,,,,
資料結構與進階程式設計,李根逸,110-2,47.42%,,,,,,,,,
資料結構與演算法,蔡欣穆,107-2,13.68%,86.32%,,,,,,,,
資料結構與演算法,蔡欣穆,109-2,7.00%,93.00%,,,,,,,,
資料結構與演算法,林軒田,109-2,8.74%,,,,,,,,,
資訊經濟,孔令傑,109-2,34.21%,31.58%,,,,,,,,
資訊管理,魏志平,110-1,8.20%,91.80%,,,,,,,,
資訊管理導論,魏志平,108-2,2.35%,24.71%,,,,,,,,
資訊檢索與文字探勘導論,陳建錦,109-1,49.02%,50.98%,,,,,,,,
資管新生專題,陳建錦,110-1,77.94%,,,,,,,,,
跨越時空談宇宙,陳丕燊,107-1,26.54%,52.86%,20.59%,,,,,,,
跨越時空談宇宙,陳丕桑,108-1,22.91%,77.09%,,,,,,,,
農企業管理學,雷立芬,109-1,30.36%,32.14%,37.50%,,,,,,,
農產運銷學,陳政位,109-2,,,,,57.41%,20.37%,22.22%,,,
農產價格,劉鋼,109-1,,8.11%,21.62%,70.27%,,,,,,
農業法規甲,陳政位,109-1,,,,,,,,70%,30%,0%
農業金融,吳榮杰,108-1,32.50%,30%,37.50%,,,,,,,
農業金融,何率慈,109-1,17.39%,82.61%,,,,,,,,
農業政策,張郁蕙,110-1,28.57%,71.43%,,,,,,,,
農業發展,陸怡蕙,109-2,13.33%,24.44%,62.22%,,,,,,,
農業經濟問題討論上,雷立芬,110-1,80%,20%,,,,,,,,
農業經濟問題討論下,雷立芬,109-2,56%,44%,,,,,,,,
農業經濟概論,吳榮杰,107-1,15.28%,55.55%,55.55%,55.55%,15.28%,13.89%,,,,
農業藥劑學,黃榮南,108-2,5.56%,38.89%,55.56%,,,,,,,
農藝學統計方法,廖振鐸,108-2,29.41%,29.41%,41.18%,,,,,,,
遊戲設計,陳炳宇,109-1,15.91%,79.55%,4.55%,,,,,,,
電子學（一）,吳肇欣,110-1,7.69%,92.31%,,,,,,,,
電子學實驗(一),劉宗德,110-1,53.30%,38.21%,8.49%,,,,,,,
電工學與實習,鄭宗記,108-1,4.65%,16.28%,,,,,,,,
電磁學一,林怡成,110-1,18.97%,81.03%,,,,,,,,
電磁學上,郭光宇,107-1,18.68%,81.32%,,,,,,,,
電磁學下,郭光宇,107-2,15.91%,84.09%,,,,,,,,
電磁學習題演練上,郭光宇,107-1,10.53%,89.47%,,,,,,,,
電磁學習題演練下,郭光宇,107-2,28.57%,71.43%,,,,,,,,
實用英文寫作,熊宜君,109-2,19.15%,80.85%,,,,,,,,
實驗動物學,邱智賢,108-1,16.22%,21.62%,16.22%,45.95%,,,,,,
實驗動物學,王珮華,107-1,43.59%,28.21%,28.21%,,,,,,,
滿文一,莊吉發,108-1,63.64%,,,,,,,,,
滿文一,莊吉發,109-2,72.22%,27.78%,,,,,,,,
演化生物學,李承叡,107-1,,,,,,45.16%,12.90%,41.94%,,
演唱指導(一),賴家慶,109-1,,100.00%,,,,,,,,
演算法設計與分析,陳縕儂,108-1,18.28%,81.72%,,,,,,,,
演算法設計與分析,陳縕儂,110-1,20.87%,79.13%,,,,,,,,
演算法設計與分析,蕭旭君,110-1,20.37%,,,,,,,,,
監獄學,李茂生,107-1,,,,,,,,,96.62%,3.38%
管理數學,黃以達,107-1,18.02%,81.98%,,,,,,,,
管理數學,李家岩,110-2,39.78%,,,,,,,,,
管理學,吳政衛,110-1,21.67%,,,,,,,,,
網絡資料分析與模式,溫在弘,109-2,56.14%,43.86%,,,,,,,,
網路服務程式設計,黃鐘揚,110-1,22.91%,77.09%,,,,,,,,
網路管理與系統管理,蔡欣穆,108-2,21.57%,78.43%,,,,,,,,
網路管理與系統管理實驗,蔡欣穆,108-2,21.05%,78.95%,,,,,,,,
臺灣史二,呂紹理,107-2,,,61.96%,26.09%,11.96%,,,,,
臺灣原住民史,周婉窈 ,109-1,12.07%,43.10%,44.83%,,,,,,,
臺灣現代小說選讀,楊雅儒,110-1,72.97%,27.03%,,,,,,,,
臺灣現代主義小說,柯慶明,107-1,26.54%,52.86%,20.59%,,,,,,,
臺灣現代主義小說,柯慶明,107-1,26.54%,52.86%,20.59%,,,,,,,
臺灣現代詩,劉正忠,109-2,,54.50%,22.27%,23.22%,,,,,,
臺灣歷史與人物,歐素瑛,107-1,,29.63%,39.51%,30.86%,,,,,,
舞臺技術一,陳志峰(01),109-1,,,10%,40%,50%,,,,,
認識星空,孫維新,108-1,27.17%,18.50%,54.33%,,,,,,,
認識星空,孫維新,109-1,28.75%,71.25%,,,,,,,,
認識歐洲與歐洲聯盟,蘇宏達,110-1,,43.04%,36.71%,20.25%,,,,,,
語言學,陳萱芳,109-2,,71.74%,23.91%,4.35%,,,,,,
語言學概論,吳聖雄,109-1,100.00%,,,,,,,,,
遙測學原理,黃倬英,108-1,3.85%,11.54%,84.62%,,,,,,,
劇本導讀,吳政翰,109-2,,,,73.91%,10.87%,15.22%,,,,
廣義相對論,陳恒榆,109-2,,,23.53%,5.88%,70.59%,,,,,
德文一上,李秀蓮 ,107-1,,,,,,,,,95%,5%
德文一上,蔡嘉穎 (01),106-1,43.14%,56.86%,,,,,,,,
德文一下,蔡嘉穎 (01),106-2,42.86%,57.14%,,,,,,,,
德文二上,漢駿緯(03),108-1,28.26%,36.96%,34.78%,,,,,,,
德文二下,漢駿緯(03),108-2,60%,40%,,,,,,,,
德文三下,林倩君 (01),109-2,,,,71.43%,19.05%,9.52%,,,,
數位系統與實驗,林忠緯,108-2,24.72%,28.09%,47.19%,,,,,,,
數位視覺效果,莊永裕,108-2,,86.61%,7.87%,5.51%,,,,,,
數位電子與數位電路,賴飛羆,108-1,85.71%,14.29%,,,,,,,,
數位語音處理概論,李琳山,109-1,28.77%,30.14%,41.10%,,,,,,,
數量方法入門,朱玉琦,110-1,14.29%,46.42%,46.42%,46.42%,19.64%,19.64%,,,,
數量遺傳學,胡凱康,109-1,0%,35.29%,64.71%,,,,,,,
數學之美,呂學一,107-1,63.19%,36.81%,,,,,,,,
數學之美,呂學一,109-2,43.01%,,,,,,,,,
熱物理,蔡政達,108-1,69.88%,30.12%,,,,,,,,
線上高階英語二,趙恬儀,109-2,,,,75%,17.86%,7.14%,,,,
線性代數,李明穗,108-1,16.16%,83.84%,,,,,,,,
線性代數,李明穗,110-1,28.37%,71.63%,,,,,,,,
線性代數,陳文進,109-1,58.82%,,,,,,,,,
線性代數一,莊武諺,110-1,,,,,,,,83.33%,10%,6.67%
線蟲學與實驗,楊爵因,108-1,19.23%,19.23%,61.54%,,,,,,,
編譯程式設計,徐慰中,109-1,24.39%,34.15%,41.46%,,,,,,,
蔬菜學,林淑怡 ,107-1,15.66%,40.96%,15.66%,27.71%,,,,,,
蔬菜學實習,林淑怡 ,107-1,42.42%,51.52%,3.03%,3.03%,,,,,,
衛生保健,蔡兆勳,108-2,71.30%,28.70%,,,,,,,,
談判學,許重博,110-1,11.11%,55.56%,33.33%,,,,,,,
豬學,吳信志,107-2,13.79%,37.93%,48.28%,,,,,,,
豬學實習,朱有田,108-2,41.38%,31.03%,6.90%,20.69%,,,,,,
豬學實習,吳信志,107-2,6.90%,31.03%,62.07%,,,,,,,
豬營養學甲,魏恒巍,107-2,28.57%,71.43%,,,,,,,,
閱讀張愛玲,張小虹,108-2,14.29%,,,,,,,,,
憲法,張文貞,107-1,,26.54%,27.78%,45.68%,,,,,,
憲法,蘇慧婕,107-1,,,,44.09%,14.17%,41.73%,,,,
憲法,葉俊榮,110-1,14.18%,,,,,,,,,
憲法變遷專題研究二,葉俊榮,107-1,,100%,,,,,,,,
戰後臺灣民主運動史,陳翠蓮,107-2,,32.14%,35.71%,32.14%,,,,,,
機械與農業,黃振康,109-1,17.39%,30.43%,52.17%,,,,,,,
機率,洪一平,108-2,51.81%,48.19%,,,,,,,,
機率,林守德,109-2,,30.77%,18.46%,50.77%,,,,,,
機器學習,李宏毅,109-2,44.30%,16.28%,18.96%,20.46%,,,,,,
歷史研究數位人文資源的介紹與實作,項潔,110-1,2.44%,82.93%,14.63%,,,,,,,
燈光技術一,李意舜(01),109-1,,,,75%,10%,15%,,,,
遺傳學,陳凱儀,107-2,,,,40.62%,15.62%,43.75%,,,,
遺傳學,丁照棣,109-1,52.73%,47.27%,,,,,,,,
遺傳學實驗,楊雯如 ,108-1,30%,10%,19.38%,19.38%,19.38%,15.62%,25%,,,
遺傳學實驗,陳凱儀,107-2,64.71%,35.29%,0.00%,,,,,,,
鋼琴作品與演奏欣賞,張欽全,107-1,87.44%,12.56%,,,,,,,,
鋼琴作品與演奏欣賞,張欽全,106-2,67.84%,32.16%,,,,,,,,
鋼琴作品與演奏欣賞,張欽全,110-2,96.53%,,,,,,,,,
隨機過程,繆維中,110-1,,65.52%,27.59%,6.90%,,,,,,
頤賢講座-臺灣政經社問題與對策 ,林惠玲,108-1,19.29%,80.71%,,,,,,,,
頤賢講座-臺灣政經社問題與對策 (四),林惠玲,109-2,21.71%,21.05%,28.95%,28.29%,,,,,,
應用貝氏統計分析,蕭朱杏,110-1,,,,,,,,87.50%,3.12%,9.38%
應用數學一,龔源成 ,110-1,36.36%,,,,,,,,,
應用數學二,李慶德,107-1,25.30%,74.70%,,,,,,,,
應用數學三,蔡爾成,107-2,13.43%,14.93%,71.64%,,,,,,,
應用線性代數,邱春火,109-2,34.88%,65.12%,,,,,,,,
應用賽局理論,陳暐,110-1,9%,9%,82%,,,,,,,
戲劇製作一,陳志峰,109-2,,75.68%,21.62%,2.70%,,,,,,
戲劇導論,呂柏伸,109-1,,,,85.71%,7.14%,7.14%,,,,
環境法,葉俊榮,108-2,12.16%,40.39%,47.45%,,,,,,,
環境經濟學二,宋玉生,109-2,0%,60%,40%,,,,,,,
環境經濟學二,宋玉生,108-2,,31.25%,43.75%,25%,,,,,,
環境資源保育經理及實習,周素卿,107-1,,18.42%,10.53%,71.05%,,,,,,
環境資源保育經理及實習,周素卿,110-1,7.32%,92.68%,,,,,,,,
環境與工程地質,劉雅瑄,110-2,56.76%,27.03%,16.22%,,,,,,,
環境與自然資源經濟學,吳珮瑛,109-2,38.64%,61.36%,,,,,,,,
總體經濟理論一,王建強,110-1,,21.74%,21.74%,56.52%,,,,,,
總體經濟學,劉憶如,107-2,,27.59%,34.48%,37.93%,,,,,,
總體經濟學上,王泓仁,109-1,,20%,22.22%,40.74%,,,,,,
總體經濟學上,王泓仁,108-1,16.67%,19.57%,21.74%,42.03%,,,,,,
總體經濟學上,毛慶生,109-1,,,,,,76.47%,3.27%,20.26%,,
總體經濟學上,謝德宗,109-1,8.89%,8.89%,82.22%,,,,,,,
總體經濟學上,謝德宗,110-1,,9.43%,7.55%,83.02%,,,,,,
總體經濟學上,王泓仁,109-1,14.81%,85.19%,,,,,,,,
總體經濟學下,王泓仁,109-2,,37.30%,19.84%,42.86%,,,,,,
總體經濟學下,王泓仁,108-2,22.15%,47.65%,47.65%,47.65%,7.38%,22.82%,,,,
總體經濟學下,毛慶生,109-2,,,,,,78.95%,5.26%,15.79%,,
總體經濟學下,謝德宗,109-2,4.76%,,,,,,,,,
總體經濟學下,王泓仁,109-2,15.08%,22.22%,62.70%,,,,,,,
總體經濟學甲上,石曜合,108-1,18.18%,13.64%,68.18%,,,,,,,
總體經濟學甲下,羅竹平,108-2,20%,80%,,,,,,,,
總體經濟學原理,吳中書,109-2,27.38%,72.62%,,,,,,,,
總體經濟學原理與實習,吳聰敏,109-2,19.43%,80.57%,,,,,,,,
總體經濟學原理與實習,蔡宜展,109-2,34.26%,,,,,,,,,
總體經濟學原理與實習,林明仁(02),110-2,14.88%,,,,,,,,,
賽局與生活,馮勃翰,109-1,,27.04%,22.01%,50.94%,,,,,,
賽局論,黃景沂 ,110-1,23.91%,4.35%,15.22%,56.52%,,,,,,
韓文一上,李承珍,109-1,28.89%,40%,31.11%,,,,,,,
韓文一下,李承珍,109-2,,,60.71%,25%,14.29%,,,,,
壘球初級,連玉輝,109-2,,22.22%,66.67%,11.11%,,,,,,
壘球初級,連玉輝,109-2,,,91.67%,5.56%,2.78%,,,,,
職場英文寫作與口語表達,陳巧玲 (01),107-2,19.44%,80.56%,,,,,,,,
醫學與人文,陳彥元,107-2,33.68%,66.32%,,,,,,,,
醫學與人文,陳彥元,110-1,58.62%,41.38%,,,,,,,,
醫學與人文,陳彥元,109-1,75.24%,24.76%,,,,,,,,
醫學與生活,楊榮森,110-1,41.77%,58.23%,,,,,,,,
醫學與生活,楊榮森(01),109-2,60%,,,,,,,,,
醫療民事法專題討論,吳志正 ,107-1,37.84%,44.59%,17.57%,,,,,,,
醫療民事法專題討論二,吳志正,107-2,39.47%,60.53%,,,,,,,,
醫療與社會,朱宗信,110-1,42.76%,44.67%,12.67%,,,,,,,
離散數學,雷欽隆,109-1,28.07%,71.93%,,,,,,,,
類別資料探索分析,劉力瑜,109-2,52.94%,17.65%,29.41%,,,,,,,
鯨豚保育生物學,周蓮香,108-1,49.48%,37.11%,13.40%,,,,,,,
鯨豚保育生物學,周蓮香,109-1,34.07%,65.93%,,,,,,,,
鯨豚保育生物學,周蓮香,107-1,38.95%,61.05%,,,,,,,,
籃球初級,曾郁嫻(68),110-1,20.93%,39.53%,,,,,,,,
籃球初級,李永祥(F5),110-2,65.12%,,,,,,,,,
蘭花學,張耀乾,108-1,30%,25%,45%,,,,,,,
讀中生智：英文批判閱讀,張晨,110-1,15.56%,84.44%,,,,,,,,
邏輯,曾漢塘,107-2,15.73%,7.87%,76.40%,,,,,,,
邏輯,曾漢塘,109-1,24.69%,75.31%,,,,,,,,
邏輯,傅皓政,108-1,,40%,21.13%,38.87%,,,,,,
邏輯,傅皓政,109-2,78.44%,21.56%,,,,,,,,
體適能(一),王翊澤,109-2,97.62%,2.38%,,,,,,,,
