"課程名稱",授課教師,學期,A+比例,A比例,A-比例,B+比例,B比例,B-比例,C+比例,C比例,C-比例,F比例
"微積分3",蔡國榮,1122,43.70%,,,,,,,,,
"微積分3",彭俊文,1122,19.38%,,,,,,,,,
"微積分4",蔡雅如,1112,,7.48%,,,,,,,,
"微積分4",傅斯緯,1112,,44%,,,,,,,,
"微積分4",吳侊儒,1112,14.89%,13.48%,,,,,,,,
"微積分4",蔡國榮,1112,23.65%,,,,,,,,,
"微積分4",蔡國榮,1112,14.17%,11.81%,,,,,,,,
"微積分4",蔡國榮,1112,,,9.45%,,,,,,,
"微積分4",蔡國榮,1112,23.65%,,,,,,,,,
"微積分4",蔡國榮,1122,24.26%,,,,,,,,,
"微積分4",彭俊文,1122,,,8.96%,,,,,,,
"微積分乙",張樹城,1111,38.64%,,,,,,,,,
"微積分乙",張樹城,1111,38.64%,18.94%,,,,,,,,
"微積分乙上",翁秉仁,1111,7.09%,,,,,,,,,
"微積分二",翁秉仁,1102,,,,8%,,,,,,
"意識哲學導論",陳樂知,1111,33.33%,29.17%,,,,,,,,
"愛的面面觀",齊肖齊,1122,70%,,,,,,,,,
"愛情多樣性",許碩驛,1112,73.33%,,,,,,,,,
"愛情多樣性",許碩驛 ,1111,61.54,23.08,,,,,,,,
"會計專業入門",劉順仁,1111,48.44%,20.31%,,,,,,,,
"會計審計法規",陳慶財,1111,78.69%,,,,,,,,,
"會計學一上",廖芝嫻,1111,43.55%,,,,,,,,,
"會計學一下",吳淑鈴,1112,51.22%,,,,,,,,,
"會計學甲一上",高偉娟,1111,,,,7.61%,,,,,,
"會計學甲一上",高偉娟,1111,27.42%,,,,,,,,,
"會計學甲一上",陳坤志,1111,26.19%,28.57%,,,,,,,,
"會計學甲一下",陳坤志,1112,37.97%,16.46%,,,,,,,,
"會計學原理上",林嬋娟,1111,18.89%,,,,,,,,,
"會計學原理上",劉順仁,1111,30.77%,,,,,,,,,
"會計學原理上",劉順仁,1111,33.33%,,,,,,,,,
"會計學原理上",林嬋娟,1111,,,16.67%,,,,,,,
"會計學原理下",葉疏,1112,,,14.29%,,,,,,,
"會計學原理下",林嬋娟,1112,14.12%,,,,,,,,,
"當代食品安全議題",羅宇軒,1112,55.88%,,,,,,,,,
"當代劇場藝術面面觀",謝筱玫,1112,11.96%,,,,,,,,,
"經濟學原理上",陳暐,1111,17.86%,,,,,,,,,
"經濟學原理下",陳暐,1112,20%,30.77%,,,,,,,,
"試驗設計學",劉力瑜,1111,37.74%,,,,,,,,,
"資料分析方法",藍俊宏,1112,0%,30.23%,,,,,,,,
"資料科學",陳銘憲,1111,,,27.20%,,,,,,,
"資料科學",陳銘憲,1111,15.20%,21.60%,,,,,,,,
"資料科學入門",張佑成,1121,74.58%,,,,,,,,,
"資料科學與社會研究",林明仁,1111,,,,12.50%,0%,0%,0%,0%,0%,0%
"資料科學與社會研究",林明仁,1111,,,39.06%,,,,,,,
"資料庫管理",楊立偉,1111,45.79%,,,,,,,,,
"資料結構",陳和麟,1111,22.28%,,,,,,,,,
"資料結構",吳沛遠,1112,20.41%,,,,,,,,,
"資料結構",陳和麟,1121,18.67%,21.69%,,,,,,,,
"資料結構	",張恆華,1111,16.28%,,,,,,,,,
"資料結構與演算法",林軒田 蔡欣穆,1112,6.37%,16.18%,,,,,,,,
"資料結構與演算法",林軒田、蔡欣穆,1122,7.26%,12.90%,,,,,,,,
"資訊科學導論",林奇秀,1112,,,26.56%,,,,,,,
"資訊管理導論",彭志宏,1112,32.76%,,,,,,,,,
"資管新生專題",陳建錦,1111,14.67%,37.33%,,,,,,,,
"農業經濟概論",黃芳玫 張宏浩,1111,,,,,9.88%,,,,,
"農業與鄉村概論",王俊豪,1112,60%,,,,,,,,,
"運動社會學",孫又揆,1112,38.46%,,,,,,,,,
"運動賽會規劃與管理",陳志一,1111,,,,,4%,,,,,
"運輸工程",賴勇成,1111,45,,,,,,,,,
"電力工程導論",許源浴,1111,75.76%,,,,,,,,,
"電子計算機概論",陳光華,1112,19.70%,28.79%,,,,,,,,
"電子電路一",陳昭宏,1111,,27.08%,16.67%,,,,,,,
"電子電路設計",劉深淵,1121,11.90%,19.05%,,,,,,,,
"電子學（一）",林宗賢,1111,20.37%,,,,,,,,,
"電子學（一）",呂良鴻,1111,16.07%,,,,,,,,,
"電子學（一）",林宗賢,1111,20.37%,22.22%,,,,,,,,
"電子學（一）",林宗賢,1121,13.33%,,,,,,,,,
"電子學（二）",林宗賢,1112,,,,,,,,3.28%,,
"電子學（二）",鍾孝文,1112,11.36%,,,,,,,,,
"電子學（二）",鍾孝文,1112,,,,11.36%,,,,,,
"電子學（二）	",呂良鴻,1112,,,以上47.53,6.93,,,,,,
"電子學二",林宗賢,1122,15%,17.50%,,,,,,,,
"電子學實驗",張培仁,1111,,,20.69%,,,,,,,
"電子學實驗(一)",劉宗德,1111,49.29%,,,,,,,,,
"電子學實驗(一)",劉宗德,1121,61.54%,,,,,,,,,
"電子學實驗（二）",劉宗德,1112,67.79%,,,,,,,,,
"電子學實驗(二)",劉宗德,1112,67.79%,,,,,,,,,
"電子學實驗二",劉宗德,1122,36.06%,,,,,,,,,
"電工實驗（數位電路）",楊家襄,1111,41.67%,50%,,,,,,,,
"電工實驗(數位電路)",楊家驤,1121,,,8.33%,,,,,,,
"電腦視覺",傅楸善,1111,74.36%,,,,,,,,,
"電腦網路與通訊",楊東謀,1111,49.21%,,,,,,,,,
"電腦網路導論",廖婉君,1111,34.78%,10.14%,,,,,,,,
"電腦輔助工程製圖",鍾添東,1111,29.63%,18.52%,,,,,,,,
"電路學",吳忠幟,1112,,,,,,,,,3.03,7.07
"電路學",吳忠幟,1112,29.29%,23.23%,,,,,,,,
"電路學",金藝璘,1122,18.92%,,,,,,,,,
"電磁學一",鄭宇翔,1111,36.50%,,,,,,,,,
"電磁學一",李俊興,1111,23.64%,,,,,,,,,
"電磁學一",鄭宇翔,1121,51.72%,,,,,,,,,
"電磁學二",江簡富,1112,,,,,,,,,14.29%,3.57%
"電磁學二",吳瑞北,1112,24.32%,,,,,,,,,
"電磁學二",毛紹綱,1112,,,以上60.32,6.35,,,,,,
"電磁學二",吳宗霖,1112,28%,,,,,,,,,
"電磁學二",吳瑞北,1122,27.27%,,,,,,,,,
"電影、信仰與道德",張毅民,1111,,,,,4.44%,,,,,
"電影、信仰與道德",張毅民,1112,70.45%,11.36%,,,,,,,,
"預測、學習、與賽局",李彥寰,1112,31.25%,,,,,,,,,
"圖書館特藏文獻管理",顧力仁,1112,40.74%,,,,,,,,,
"圖書館統計學",林維真,1111,62%,,,,,,,,,
"圖書館管理",蔡天怡,1112,11.32%,,,,,,,,,
"圖書館學導論",羅思嘉,1111,,,,,34.33%,,,,,
"實分析一",陳俊全,1111,42.22%,,,,,,,,,
"實用英文寫作",熊宜君,1111,,,40.74%,,,,,,,
"演算法",李建模,1111,14.93%,,,,,,,,,
"演算法",江蕙如,1112,10.61%,13.64%,,,,,,,,
"演算法",李建模,1121,21.21%,,,,,,,,,
"演算法",孫紹華,1122,,,7.69%,,,,,,,
"演算法設計與分析",蕭旭君,1111,10.48%,20%,,,,,,,,
"演算法設計與分析",陳縕儂,1111,17.39%,13.04%,,,,,,,,
"管理數學",賴淑青,1111,51.52%,48.48%,,,,,,,,
"管理學",畢南怡,1111,13.56%,,,,,,,,,
"網球初級",趙曉涵,1111,100%,,,,,,,,,
"網球初級",趙曉涵,1121,88.89%,,,,,,,,,
"網球初級",連玉輝,1122,18.42%,,,,,,,,,
"網球初級	",莊泰源,1111,33.33%,,,,,,,,,
"網路服務程式設計",黃鐘揚,1111,22.68%,,,,,,,,,
"網路管理與系統管理實驗",蔡欣穆,1122,,,7.94%,,,,,,,
"臺灣近代史",歐素瑛,1111,,,21.82％,,,,,,,
"臺灣原住民史",周婉窈,1111,15.25%,18.64%,,,,,,,,
"臺灣現代小說選讀",江文薰,1111,30%,,,,,,,,,
"臺灣現代詩",劉正忠,1111,23.68%,26.97%,49.34%,,,,,,,
"臺灣現代詩",劉正忠,1111,,,22.37%,,,,,,,
"臺灣經濟史",葉淑貞,1111,28.57%,25%,,,,,,,,
"臺灣農業政策與新知",沈原民,1112,35.14%,,,,,,,,,
"臺灣語言與社會",江文瑜,1111,57.01%,,,,,,,,,
"臺灣閩南語一",林貝珊,1111,29.63%,,,,,,,,,
"臺灣閩南語一",林貝珊,1111,23.53%,41.18%,,,,,,,,
"認識星空",孫維新,1121,51.12%,,,,,,,,,
"語言學概論下",王珊珊,1112,70.83%,,,,,,,,,
"領導力講座",丁照棣,1111,33.33%,,,,,,,,,
"領導力講座",丁照棣,1111,33.33%,,,,,,,,,
"領導學導論",許朱勝,1111,26.67%,55.56%,,,,,,,,
"彈性力學一",劉佩玲,1111,,,41.67%,,,,,,,
"德文二下",林倩君,1112,37.84%,,,,,,,,,
"德文三上",林倩君,1111,24%,20%,,,,,,,,
"德文法學名著選讀一",林明昕,1121,,,66.67%,,,,,,,
"數位、AI與量子運算架構",梁伯嵩,1111,,,70%,,,,,,,
"數位人文概論",陳光華,1112,0%,79.49%,,,,,,,,
"數位語音處理概論",李琳山,1111,35.19%,64.81%,,,,,,,,
"數位聲音藝術與創作",林經堯,1111,15%,26%,,,,,,,,
"數值分析",羅敏輝,1112,,,19.15%,,,,,,,
"數值方法",戴璽恆,1111,41.86%,,,,,,,,,
"數學之美",呂學一,1111,32.17%,,,,,,,,,
"數學之美",呂學一,1122,28.22%,,,,,,,,,
"歐陽修文",方介,1111,5.56%,22.22%,,,,,,,,
"歐盟莫內講座--經濟貨幣整合：歐盟理論與實證",葉國俊,1121,28.72%,,,,,,,,,
"熱力學",蔡協澄,1111,7.02%,,,,,,,,,
"熱力學",陳洵毅,1111,,,,,,,,,,25%
"熱力學",蔡協澄,1111,7.02%,10.53%,,,,,,,,
"線上凸最佳化",李彥寰,1111,20%,50%,,,,,,,,
"線性代數",陳文進,1111,24.05%,,,,,,,,,
"線性代數",馮世邁,1111,26.39%,,,,,,,,,
"線性代數(一)",謝銘倫,1111,,,,15.74%,,,,,,
"線性代數一",謝銘倫,1111,,,,,,,19.44%,,,12.96%
"衛生法律概論",張兆恬,1112,25.58%,58.14%,,,,,,,,
"衛生保健",程劭儀,1112,69.07%,,,,,,,,,
"壁球初級",林聯喜,1111,55.56%,25.93%,,,,,,,,
"憲法",蘇慧婕,1111,14.60%,18.98%,,,,,,,,
"憲法",張文貞,1111,22.22%,27.78%,,,,,,,,
"樹木學及實習",王立志,1111,,,,,,,,,,50%
"橄欖球",莊國禎,1111,37.78%,44.44%,,,,,,,,
"機動學",蘇偉儁,1111,17.54%,19.30%,,,,,,,,
"機動學",徐冠倫,1111,35.71%,,,,,,,,,
"機械製造",	李典儒,1112,34.25%,,,,,,,,,
"機率與統計",謝宏昀,1112,7.94%,15.87%,,,,,,,,
"機率與統計",謝宏昀,1112,,,18.25%,,,,,,,
"機率與統計",謝宏昀,1112,,,18.25%,,,,,,,
"機率論一",林偉傑,1111,65.22%,,,,,,,,,
"機電整合與系統設計-機電整合(四)",吳筱梅,1111,50%,,,,,,,,,
"機器學習",李宏毅,1112,61.12%,,,,,,,,,
"機器學習",林軒田,1112,13.93%,,,,,,,,,
"機器學習",林軒田,1112,13.93%,36.89%,,,,,,,,
"歷史上的中國與周邊世界",傅揚,1111,,25%,,,,,,,,
"歷史上的中國與周邊世界",傅揚,1111,27.63%,,,,,,,,,
"歷史研究與寫作",衣若蘭,1121,13.16%,,,,,,,,,
"歷史學與現代社會",韓承樺,1111,,,26.51%,,,,,,,
"積體電路設計",闕志達,1111,26.26%,,,,,,,,,
"積體電路設計",闕志達,1121,28.70%,,,,,,,,,
"選擇權與期貨",王之彥,1112,,,21.74%,,,,,,,
"遼宋金的物質世界",許雅惠,1121,,,23.33%,,,,,,,
"鋼琴作品與演奏欣賞",張欽全,1111,95.73%,,,,,,,,,
"隨機過程",繆維中,1111,37.50%,,,,,,,,,
"靜力學",莊嘉揚,1111,,,10.77%,,,,,,,
"靜力學",莊嘉揚,1111,,,,,,10.77%,,,,
"館藏發展",張郁蔚,1112,20.34%,,,,,,,,,
"壓電振動能量擷取導論",舒貽忠,1112,52.94%,,,,,,,,,
"應用生物統計學(乙)",杜裕康,1111,28.10%,,,,,,,,,
"應用地球物理學",許鶴瀚,1111,36.36%,,,,,,,,,
"應用物理專題討論一",張寶棣,1111,0%,70%,,,,,,,,
"應用數學一",吳光鐘,1111,21.88%,,,,,,,,,
"應用數學一",梁禹喬,1111,,,,,,,,,,8.57%
"戲曲後花園",鍾幸玲,1111,82.29%,,,,,,,,,
"檢驗醫學上",周文堅,1111,39.04%,39.73%,,,,,,,,
"檢驗醫學下",周文堅,1112,54.11%,,,,,,,,,
"營建管理",林之謙,1122,30%,14%,,,,,,,,
"營養教育與傳播",洪泰雄,1112,83.84%,,,,,,,,,
"環境化學",潘述元,1111,5.45%,,,,,,,,,
"環境化學實習",廖秀娟,1112,31.82%,,,,,,,,,
"環境法",葉俊榮,1112,11.49%,40.80%,,,,,,,,
"環境與健康",蘇大成,1112,59.04%,,,,,,,,,
"總體經濟學",劉憶如,1112,18.95%,35.79%,,,,,,,,
"總體經濟學上",毛慶生,1111,21.11%,17.78%,61.11%,,,,,,,
"總體經濟學下",王泓仁,1112,17.12%,,,,,,,,,
"總體經濟學下",毛慶生,1112,20.50%,79.50%,,,,,,,,
"總體經濟學原理",陳虹如,1111,13.98%,20.43%,,,,,,,,
"總體經濟學原理",陳虹如,1121,16.98%,,,,,,,,,
"總體經濟學原理與實習",林明仁,1112,13.92%,14.24%,71.84%,,,,,,,
"總體經濟學原理與實習",林明仁,1112,,,13.92%,,,,,,,
"總體經濟學原理與實習",樊家忠,1112,12.87%,7.60%,,,,,,,,
"總體經濟學原理與實習",蔡宜展,1112,16.18%,10.29%,,,,,,,,
"總體經濟學原理與實習",高恩琵,1112,19.88%,,,,,,,,,
"臨床醫學總論(I)",合授,1111,35.17%,33.10%,,,,,,,,
"臨床醫學總論(II)",合授,1112,33.33%,,,,,,,,,
"臨床醫學總論(III)",合授,1112,37.24%,,,,,,,,,
"賽局論",古慧雯,1111,16%,,,,,,,,,
"賽局論",古慧雯,1111,,12%,,,,,,,,
"賽局論",黃景沂,1111,18.18%,10.91%,,,,,,,,
"韓文一上",李相美,1111,62.16%,,,,,,,,,
"韓文一上",李承珍,1111,22.50%,30%,,,,,,,,
"韓文一上",李承珍,1121,43.59%,,,,,,,,,
"韓文一上",李相美,1121,81.40%,,,,,,,,,
"韓文一下",李相美,1112,67.74%,,,,,,,,,
"韓文一下",李相美,1122,65.38%,,,,,,,,,
"韓文二上",李相美,1111,50%,,,,,,,,,
"壘球初級",周德賢,1112,65.91%,,,,,,,,,
"禮記甲上",黃啟書,1111,30%,,,,,,,,,
"簡報製作與表達	",葉丙成,1111,23.33%,,,,,,,,,
"職場倫理與職場精神",洪英正,1111,,,,,5.38%,,,,,
"職場倫理與職場精神",洪英正,1112,19.80%,,,,,,,,,
"職業衛生",吳章甫,1111,,,,12%,,,,,,
"醫用台語教學",李克仁等,1111,82.65%,,,,,,,,,
"醫用台語教學",李克仁,1111,82.65%,,,,,,,,,
"醫家經典選讀（二）",蔡璧名,1111,31.08%,41.89%,,,,,,,,
"醫家經典選讀（二）",蔡壁名,1111,31.08%,41.89%,,,,,,,,
"醫學工程導論",宋孔彬,1111,56.41%,,,,,,,,,
"醫學心理學",廖士程,1112,92.09%,,,,,,,,,
"醫學資源利用實習二",盛望徽,1111,42.86%,57.14%,,,,,,,,
"醫學電資整合創意專題（一）",林忠緯,1111,64.29%,35.71%,,,,,,,,
"醫學與人文",陳彥元,1111,29.38%,40%,,,,,,,,
"醫學與人文",陳彥元,1111,,,19.38%,,,,,,,
"醫學與生活",楊榮森,1111,18.54%,39.74%,,,,,,,,
"醫學與生活",楊榮森,1111,18.12%,26.17%,,,,,,,,
"醫學與生活",楊榮森,1102,73.33%,12%,,,,,,,,
"醫學與生活",楊榮森,1112,53.42%,,,,,,,,,
"醫學與生活",楊榮森,1112,31.54%,,,,,,,,,
"醫學與生活",楊榮森,1122,26.39%,31.25%,,,,,,,,
"醫療法律責任",陳聰富,1111,31.01%,,,,,,,,,
"醫療法律責任",陳聰富,1111,31.01%,,,,,,,,,
"醫療與社會",朱宗信,1111,28.48%,62.91%,,,,,,,,
"離散數學",雷欽龍,1111,21.01%,14.29%,,,,,,,,
"離散數學",雷欽隆,1111,19.15%,,,,,,,,,
"離散數學",郭斯彥,1112,,,,8.89%,,,,,,
"離散數學",郭斯彥,1112,28.15%,,,,,,,,,
"藥理學上",林泰元,1111,28.47%,31.25%,,,,,,,,
"藥理學下",林泰元,1112,75.17%,,,,,,,,,
"藥理學實驗",林泰元,1112,51.72%,,,,,,,,,
"鯨豚、人類、海洋、保育",楊瑋誠,1111,37.93%,,,,,,,,,
"籃球初級",曾郁嫻,1112,56.25%,,,,,,,,,
"讀中生智(一)：初階英文閱讀",陳翊齊,1111,,,30%,,,,,,,
"邏輯",傅皓政,1111,47.64%,,,,,,,,,
"邏輯",曾漢塘,1111,63.01%,,,,,,,,,
"邏輯",傅皓政,1112,68.68%,,,,,,,,,
"邏輯",曾漢塘,1112,57.78%,12.22%,,,,,,,,
"邏輯",傅皓政,1112,68.68%,,,,,,,,,
"邏輯思考與應用",王銀國,1121,75%,,,,,,,,,
"邏輯電路",吳文中,1111,22.81%,24.56%,,,,,,,,
"顯微鏡下的生命世界",沈原民,1111,34.68%,,,,,,,,,
"顯微鏡下的生命世界",沈原民,1111,34.68%,,,,,,,,,
"體適能(一)",王翊澤,1112,95.45%,,,,,,,,,
"體適能(一)",呂祐華,1112,92.31%,,,,,,,,,
"C/C++程式設計",張傑帆,1111,6.33%,15.19%,,,,,,,,
"C/C++程式設計",張傑帆,1112,,,,10.23%,,,,,,
"Python 計算機程式設計",張傑帆,1121,26.19%,25%,,,,,,,,
"Python 計算機程式設計",張傑帆,1122,27.94%,30.88%,,,,,,,,
"Python程式設計",林澤佑,1111,83.78%,,,,,,,,,
"Python程式設計",林澤佑,1112,,,,,,,,,3.23%,2.15%
"Python程式設計基礎課程",何承遠,1111,61.70%,,,,,,,,,
"健康體適能",林威名,1111,55.56%,,,,,,,,,
"大學國文：文化思想與寫作（一）",羅鈴沛,1111,,,,5.56%,,,,,,
"英文(附二小時英聽)一",張嘉倩,1111,8.57%,54.29%,,,,,,,,
" 微積分1",傅斯緯,1111,12.70%,,,,,,,,,
"微積分2",傅斯緯,1111,22.31%,,,,,,,,,
"普通物理學甲上",王立民,1111,30.43%,7.25%,,,,,,,,
"普通化學甲上",李弘文,1111,20.41%,9.18%,,,,,,,,
"普通化學實驗上",林至闓,1111,,,30.51%,,,,,,,
"大氣科學概論",吳俊傑,1111,11.11%,26.98%,,,,,,,,
"程式與科學計算",陳維婷,1111,19.15%,,,,,,,,,
"大氣程式實作",陳維婷,1111,75%,,,,,,,,,
"羽球初級",連家瑩,1112,53.12%,18.75%,,,,,,,,
"全民國防教育軍事訓練課程－防衛動員",余宗基,1112,,,24.71%,,,,,,,
"英文(附二小時英聽)二",張嘉倩,1112,11.76%,47.06%,,,,,,,,
"微積分3",傅斯緯,1112,21.97%,,,,,,,,,
"微積分4",傅斯緯,1112,16.67%,9.09%,,,,,,,,
"大氣熱力學",吳健銘,1112,18.52%,,,,,,,,,
"數值分析",羅敏輝,1112,6.38%,12.77%,,,,,,,,
"數學之美",呂學一,1112,,,8.99%,,,,,,,
"游泳中級",林謙如,1121,,,10.53%,,,,,,,
"滿文一",莊吉發,1121,79.31%,,,,,,,,,
"線性代數一",林惠雯,1121,,,,13%,,,,,,
"大氣測計學",林博雄,1121,55.36%,,,,,,,,,
"城市生態學",李婉儀,1121,21.74%,39.13%,,,,,,,,
"羽球中級",陳志一,1122,,,,12.86%,,,,,,
"全民國防教育軍事訓練課程－國防政策",余宗基,1122,5.97%,16.92%,,,,,,,,
"偏微分方程導論",夏俊雄,1122,,,,,5.71%,,,,,
"統計與大氣科學",羅敏輝,1122,,,24%,,,,,,,
"大氣動力學一",吳俊傑,1122,20%,8%,,,,,,,,
"大氣輻射學",林依依,1122,18.18%,15.15%,,,,,,,,
"密碼學導論",陳君明,1122,,,,,4.07%,,,,,
"生命教育跨領域實作",曾正忠,1122,66.67%,33.33%,0%,0%,0%,0%,0%,0%,0%,0%
"我的生涯我探索",王秀槐,1122,18.18%,81.82%,0%,0%,0%,0%,0%,0%,0%,0%
"個體經濟學下",黃貞穎,1122,9.78%,8.70%,,,,,,,,
"總體經濟學下",朱玉琦,1122,,,10%,,,,,,,
"醫學與人文",陳彥元,1122,32.56%,,,,,,,,,
"會計學原理下",尤琳蕙,1122,61.02%,,,,,,,,,
"商事法",洪瑞璨,1122,13.79%,12.07%,,,,,,,,
"財務金融入門",陳明賢,1121,40.87%,,,,,,,,,
"高等數位訊號處理",丁建均,1122,75.52%,,,,,,,,,
"生成式人工智慧導論",李宏毅,1122,87.08%,,,,,,,,,
"凸函數最佳化",蘇柏青,1122,39.32%,35.90%,,,,,,,,
"棒球中級",呂祐華,1112,96.55%,,,,,,,,,
"大學國文：文學鑑賞與寫作（二）",陳建男,1112,70.59%,,,,,,,,,
"哲學概論",周先捷,1112,39.58%,,,,,,,,,
"有機化學",楊吉水,1112,19.30%,,,,,,,,,
"有機化學實驗",楊吉水,1112,13.04%,42.03%,,,,,,,,
"社會學",李令儀,1112,27.35%,,,,,,,,,
"普通生物學乙下",郭典翰,1112,29.85%,,,,,,,,,
"普通生物學實驗丙",郭典翰,1112,40%,,,,,,,,,
"健康體適能",李文心,1111,65.96%,,,,,,,,,
"微積分乙",張樹城,1111,38.64%,,,,,,,,,
"普通化學丙",周必泰,1111,12.99%,,,,,,,,,
"普通化學實驗",周必泰,1111,14.06%,,,,,,,,,
"全球通識講座-認識全球",馮燕,1111,80%,,,,,,,,,
"醫用台語教學",李克仁,1111,82.65%,,,,,,,,,
"醫學與人文",陳彥元,1111,29.38%,,,,,,,,,
"C/C++程式設計",張傑帆,1111,6.33%,15.19%,,,,,,,,
"普通生物學乙上",朱家瑩,1111,44.26%,,,,,,,,,
"國會與憲政民主",劉有恒,1111,50%,,,,,,,,,
"普通物理學甲下",呂榮祥,1122,11.43%,8.57%,,,,,,,,
"國際公法一",蔡季廷,1121,,,,18.6,,,,,,
"民法債編總論二",張譯文,1122,15.96%,,,,,,,,,
"日文二下",張鈞竹,1112,33.33%,,,,,,,,,
"定向越野",莊珮琪,1122,71.11%,,,,,,,,,
